tau1,tau2,tau3
2.739233746,-4.604265725,-9.180529521
-9.669447289,6.265404784,8.255111546
2.132715515,4.58993122,0.872499829
8.701448476,6.317071082,-9.945229997
7.148085532,-9.328288494,4.593108929
-6.486887588,7.263578447,0.829224405
-4.005762189,-1.546255576,-9.433606577
-7.51433447,3.412488294,2.943790231
2.30770223,-2.326448915,9.944198716
9.616706776,3.71083969,3.009185525
3.768934611,-2.22157152,-7.2980699
4.429766804,0.50708645,-3.795162489
-0.283292823,7.789756687,8.680870319
-2.844096066,1.430596615,-3.562612178
1.886000604,-3.24177549,-2.167619989
7.80548704,-5.456848129,2.463742894
-8.319693128,6.652882953,5.74196615
-5.21261114,7.529684616,-8.828639304
-3.277658789,-6.994410662,-0.993212667
5.926485406,-5.38715582,-8.959573979
-1.908963204,-6.02973911,-8.184939088
1.60664772,-4.026077344,3.439897559
-6.009691121,8.84226221,-2.697796635
-7.890094409,2.582163031,8.543091061
-1.192456906,9.091809874,-0.002083726
-1.495427503,2.40426904,9.901930105
8.978873499,-0.799097214,5.154576906
-0.05154609,0.586243204,5.715714014
-1.706883013,4.689671436,4.22285756
8.641193732,-7.701347334,4.580302342
8.548478572,9.358523798,-9.705873901
7.272801805,9.623900801,9.144203592
-7.024719755,9.452576276,7.798711114
6.447476551,-0.400241524,-5.352541607
6.037611574,8.470603196,-4.677394554
0.778688152,-1.144943421,8.62034632
-9.189785776,4.640123913,2.287464939
-9.432692698,4.384395457,-9.68016541
5.159020047,0.255174465,8.582084416
-8.678350066,6.826345592,-8.666199825
-3.113800424,-1.394025361,9.321241616
1.244636845,-4.822708137,-5.166485718
7.762366413,-5.482611432,-7.508905883
-4.23338486,1.722461296,1.081810043
6.194215518,1.20951904,-4.231575711
-1.742073146,6.362419419,2.530129248
9.181552854,-2.611911778,1.05223021
1.878484032,6.965824166,-7.090529236
-1.869793265,8.199179233,-9.138662229
6.454125604,-1.692319253,6.596079706
-9.800908784,-2.699076845,-8.427399257
3.052291527,-4.523018028,4.053041413
8.876028539,-7.463657955,7.295565908
-8.810716968,-2.384589834,-1.404518776
-0.223009063,9.529246439,5.513823762
-3.822852746,-4.60326429,7.262404084
7.626143455,0.214130111,-3.114085381
9.898346963,-3.681129093,-6.345752421
7.601962426,6.246707962,3.357788111
9.168272636,8.514291544,4.964970066
7.214028191,-5.057065194,-7.175068862
3.401236986,4.292370733,-6.658941424
-2.088854538,8.205115324,1.228015351
1.566718299,-6.117404542,0.520444972
0.468694548,-8.221287195,9.638853863
1.427912009,-9.871822347,5.452984025
9.565314277,1.797400566,-3.606367274
-6.249845685,3.450532678,-6.097852031
1.55375785,2.044783528,9.248461862
-8.554694689,-0.000543527,4.881949586
-6.455465191,-2.238665364,-8.742090031
4.517617276,-8.244642265,-2.098165833
7.470452622,-0.553993265,8.252438673
5.318342355,8.306479202,-7.451939819
-8.528741893,-8.593474929,7.377085887
2.681399587,-0.068566124,-6.729131676
3.474668755,-3.639652243,4.217597265
-0.792893423,0.149397211,5.793314649
-8.14509049,1.575170066,-6.055301054
6.162735036,-0.223079277,9.773906667
-6.341133506,9.260382802,6.018340732
-0.374790068,6.270681284,2.056978105
3.10242128,8.273815254,-8.694591672
6.699764079,-2.363704401,-3.489087678
9.880535424,5.623810042,-0.289297224
-1.547432072,7.550578117,-8.263702556
4.168375138,5.783092474,5.983927594
-3.554265505,5.932783655,-5.493431162
-2.75384099,-1.651037756,0.828199673
-7.747726689,-1.861043987,-9.993986198
4.887614527,7.037518245,-7.221366418
4.075715385,6.422061768,9.636566457
6.875811247,-1.517870291,9.59377417
9.479688097,0.073539584,5.068930772
8.276753353,-0.477058561,7.275724822
4.031371321,-4.121514881,5.3530454
1.413695717,-8.123096931,-2.172391474
-8.525179732,-0.476660736,-1.429207837
-1.525251141,1.726007072,-7.546186796
8.675378199,3.681008962,6.475627168
