t,q1,q2,q3,qd1,qd2,qd3,qdd1,qdd2,qdd3,tau1,tau2,tau3,traj_id
0.0,0.49445780516776083,-0.11799025908285232,0.32714801280609973,0.13490211047599587,0.19032360406278281,-0.1691099884560127,-104.97055134848296,-54.421445235888804,-19.789550061854367,5.934713442673809,-1.1187324523132036,-4.312867571448954,0
0.01,0.490558649740296,-0.11880784634914747,0.3244673036372403,-0.9150266259083603,-0.35399330628178194,-0.3671153769829135,-105.49547511341167,-54.04798534099058,-19.947689498169378,5.7601595812461825,-0.8857393617099827,-4.366936564247593,0
0.02,0.4761209605077326,-0.1250569279161196,0.31979584655711535,-1.9740853264388663,-0.8966618401528738,-0.5675346868217412,-106.83442118609344,-54.07007566001117,-20.265629354781645,5.562503035913846,-0.6446647092948135,-4.418419971535236,0
0.03,0.4510138124524386,-0.1367400718071383,0.31310170968346607,-3.0500653966616706,-1.4414021970818065,-0.7719021815896766,-108.90554483510986,-54.436310092957584,-20.72876905746581,5.342609583498954,-0.39682909627772,-4.467290044631512,0
0.04,0.4150335272676921,-0.1538937575775744,0.30433853685383305,-4.149615291978271,-1.991201877881175,-0.9815486061450136,-111.56039580140741,-55.050633128633734,-21.310616220625192,5.1014424031065735,-0.14359016025003946,-4.513520443398713,0
0.05,0.36791860061865533,-0.17657870663916647,0.2934482210088074,-5.27752280623833,-2.5478352431632176,-1.197468792790147,-114.57301150553296,-55.76516870055274,-21.969930929063075,4.840057857199666,0.11366486192200065,-4.557086250438667,0
0.06,0.30937240148284906,-0.20486501990001627,0.2803650584460317,-6.0,-3.111303299121963,-1.4201567065290226,-117.67016462614517,-56.37176450092579,-22.647161742128617,4.559600864511559,0.37352673334782893,-4.597963984522796,0
0.07,0.2434534910233133,-0.23881077676250473,0.26502207809761125,-6.0,-3.6790595299407776,-1.6493073430568084,-120.36975601039354,-56.57752297742038,-23.244048013663523,4.261299885063503,0.6345719368786867,-4.636131613248103,0
0.08,0.17741426353832973,-0.27843464938810736,0.24736030829975794,-6.0,-4.245870012440334,-1.883630610566549,-122.16052951849849,-56.150028399844544,-23.66516113000848,3.946461539254017,0.8953704731006991,-4.671568564912251,0
0.09,0.11130231927970806,-0.3236934530887414,0.22733759979502655,-6.0,-4.804781019571296,-2.121130445786674,-122.90739797017821,-54.96700389624497,-23.862030761409194,3.616464884589492,1.1544936938376402,-4.704255739601374,0
0.1,0.0451719213085474,-0.3744684133697655,0.20493420425053976,-6.0,-5.347639506287934,-2.3593227798205643,-122.48391735333716,-52.91281432397987,-23.78620200098378,3.272755375125167,1.41052212825165,-4.734175519484595,0
0.11,-0.02091659119414152,-0.4305536570865547,0.18015759577746224,-6.0,-5.865206353044327,-2.5952535786345647,-120.78235190601426,-49.88828403305479,-23.393036549564023,2.9168385300754363,1.6620532586707117,-4.761311778309742,0
